Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Asia oriental y el Pacífico (excluido altos ingresos);EAP;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;2665961556;282314184;2,95E+12;3,21E+12;3,37E+12;3,75E+12;3,77E+11;3,89E+12;3,97E+12;3,93E+12;414151842;436677171;466476444;5344565;609055399;683467603;74774209;807479443;83116641;881602869;96542931;105159887;108097993;1125264383;113724103;112540773;11291996;116081284;122145994;125359967;126606982
inicial del dividendo demográfico;EAR;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;2,61E+12;2,74E+12;2,81E+12;2,91E+12;3,05E+12;3,18E+12;3,34E+12;3,50E+11;3,61E+12;3,73E+11;386790042;396258965;408458354;425213845;448028894;467096526;492495637;522006237;541974008;558124439;585723062;6085825117;6383658605;6455704659;6781898692;6839149542;6951805908;7211474182;73826563575;734734873;6805648307
Asia oriental y el Pacífico;EAS;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;4322250256;452322124;4,69E+12;4,99E+12;5,23E+12;5,66E+12;5,74E+11;5,87E+12;5,86E+12;5,90E+12;618898182;641983411;676337254;74524414;822751279;897614183;96114231;1026958853;104535388;1091683029;118634202;128051121;131432663;1359110273;136405728;135102012;135502893;13869889;144371763;147032574;147081356
Europa y Asia central (excluido altos ingresos);ECA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;3,84E+12;3,73E+12;3,51E+12;3,20E+12;2,84E+12;2,75E+11;2,65E+12;2,52E+12;2,52E+12;2,51E+12;2,58E+12;2,57E+11;2,60E+12;2,71E+12;2,71E+12;27224349;28339816;28910146;293027856;270371295;28406208;29973341;29596643;29047942;28110274;27397096;27713621;2832835;2913541;29221902;28307148
Europa y Asia central;ECS;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;7,97E+12;7,85E+12;7,50E+12;7,11E+12;6,74E+12;6,69E+12;6,71E+12;6,49E+12;6,49E+12;6,43E+12;6,51E+12;6,57E+11;6,58E+12;6,79E+12;6,79E+12;6,79E+12;69087525068;6,91E+12;6,86E+12;6,34E+12;6,58E+12;6,59E+12;6,52E+12;6,39E+12;6,10E+11;6,07E+12;6,10E+12;6,17E+12;6,18E+12;6,03E+12;5,64E+12
Ecuador;ECU;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;154226;157403;168452;169528;188041;209179;239977;249536;244699;216144;220515;242515;241723;246558;261777;282203;301263;306359;31688;344985;37254;370966;370851;397011;418012;413903;397917;385493;402732;396314;34431
Egipto, República Árabe de;EGY;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;877454;893695;909036;926619;879008;937223;989401;1060576;1109824;1165353;1146144;1267044;1294412;1330204;1445039;1622171;170745;1833957;1899352;1976605;2003133;2057673;2150009;2138564;2191211;2262836;2354258;2445405;237983;2179083;2107523
Zona del Euro;EMU;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;26252111;26413587;25658501;251254491;25120163;255982272;26168959;25896939;26309799;26140657;263259897;2679463;26842659;27412924;27540537;27464181;27297563;26925468;26350023;24382448;25021054;24124032;23825235;23332415;22090175;22563907;2256275;22595226;22026689;2095558337;187283552
Eritrea;ERI;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;0;0;4357;6307;73066;79667;87042;82407;61105;64632;63319;69292;67915;68498;7035;58983;52957;51652;44931;46783;50295;59589;62534;58943;59222;5709;5805;58147;6777;6972;7064
España;ESP;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;2149506;2220997;2323696;2180798;2284527;2405673;2301132;2486031;2562155;2783005;2933143;2947868;3127533;3186577;3355603;3504998;3417763;3546831;3242742;2881312;2741406;2754701;2702804;2437949;2419799;2572512;2482521;2647237;2583732;2418865;2027058
Estonia;EST;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;345449;318692;230106;183321;186857;164981;17480;178585;164278;154873;149325;152317;147951;16682;16755;168077;16090;197658;174815;140479;185004;185026;16989;188465;175949;143771;159072;167735;157169;100607;709752
Etiopía;ETH;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;23107;23331;15172;19413;22614;25747;28705;30584;32276;31766;3557;44013;45715;50224;53342;50495;54048;59635;64877;65345;64732;75515;8559;101908;124903;130463;152472;158824;170284;17708;18098
Unión Europea;EUU;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;35679009;35305561;3414360;335088441;33401501;339125172;34909342;34219791;34131068;33551126;336406147;34210572;3412869;35026991;35070591;34899839;34985367;34568704;33783858;31311975;32158027;31213889;3061105;29843295;28399761;28973179;2907404;29321455;2867932;2729768437;246502542
Frágiles y situaciones de conflicto afectados;FCS;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1,05E+12;1,01E+12;9,65E+11;9,16E+11;8,47E+11;8,56E+11;8,30E+11;8,37E+11;7,88E+11;7,65E+11;7,90E+11;8,15E+11;8,09E+11;8,38E+11;8,28E+11;8,41E+11;8,43E+11;8,38E+11;8,62E+11;8,18E+11;8,84E+11;8,88E+11;92772176;94340852;91857488;83415397;84583084;83737939;86657351;85447682;759327426
Finlandia;FIN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;545628;551327;522805;534618;599276;560925;625744;60624;572656;565099;550975;610881;634397;717081;676829;554602;670249;651027;566601;541809;625264;551234;494081;501913;461617;428154;457003;430154;443955;409871;363299
Fiji;FJI;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;71298;72115;75835;74509;74333;75167;8086;78591;76625;78632;83658;10404;877;10365;13196;10711;1200;11288;8634;7667;11263;10558;9935;10669;12136;12638;11986;13311;13872;13935;10282
Francia;FRA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;3562979;3806913;3686557;3495246;3444754;3522831;3679596;3591405;3811823;3750036;3732358;3768603;3711672;3768387;3779485;3808161;371741;3630522;3582112;3438825;3479401;3350319;3383154;3384531;3060174;3111754;3138352;3177212;3069484;3005616;2671547
Micronesia (Estados Federados de);FSM;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;0;0;1401;1497;1592;1848;1911;2013;214;1993;1873;1739;1583;1685;1497;1222;1208;1356;1171;1522;1052;1193;1324;1385;141;1449;1471;1467;1478;1482;1075
Gabón;GAB;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;409912;455656;453188;465494;461551;521104;580606;556493;638929;602789;6080;622575;59554;64364;60911;60583;54371;494111;527257;520758;576209;577714;560197;579027;596205;61158;63837;53447;51204;52745;53492
Reino Unido;GBR;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;5617745;5706816;5578856;5413764;5351832;5268082;5454781;5241912;5260006;5227526;5308882;5452622;5307859;5430371;5430759;540917;5420608;5305025;5153356;4664925;4826462;4456484;467831;4537781;415609;4010753;3821549;3668441;3605559;3459343;3086503
Georgia;GEO;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;334883;255059;200729;160937;1044386;817732;63633;551889;499037;45222;47728;35162;29584;31572;33731;42431;47013;56266;48388;56243;53221;65218;7193;8024;8654;93994;98136;99071;97252;105496;10255
Ghana;GHA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;25169;22572;26576;26965;29146;31844;34833;36046;54387;58189;49495;54445;66697;6381;59248;63311;77985;84185;79669;93203;103826;108031;128765;138997;133667;143207;145453;15135;167749;180391;1940116
Guinea;GIN;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;9991;10249;10553;10852;11219;11615;12304;12899;13626;14339;14949;15685;16305;17079;17729;18356;19014;19785;20128;21241;25028;26217;24688;2160;22257;25223;28065;33216;3735;4517;45379
Gambia;GMB;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1945;1981;1981;2072;2072;2169;2199;2293;2449;2599;2448;3086;2962;2962;3146;3295;3572;409;4277;4849;4342;4469;4529;4306;5068;5859;5932;6023;5978;6069;6114
Guinea-Bissau;GNB;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1719;1731;1776;1852;1836;185;177;1973;1724;1916;147;1482;1536;1951;2054;2095;2167;2299;2236;2346;241;2435;246;2474;2636;2819;305;3066;3178;3253;329
Guinea Ecuatorial;GNQ;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;696;726;9019;9745;10505;1117;12249;16879;20519;3307;19823;28926;25435;27953;55176;56099;55844;63262;58161;60661;60478;60891;58689;5990;59466;54942;58301;53693;50685;48765;43504
Grecia;GRC;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;756194;75818;781769;780909;797308;828345;827537;837617;871272;873955;944606;966078;965962;1002166;998446;1019473;1007028;1043099;1004056;947402;875785;845472;800853;724842;695487;680102;668486;667955;650212;599903;510022
Granada;GRD;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1149;1218;1255;1293;1389;1494;173;1832;198;2052;1986;2072;2105;2232;2168;228;2359;2508;2615;2624;2736;2603;2786;3171;2535;2726;2774;2875;3203;3462;3245
Guatemala;GTM;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;3932;40347;48349;5118;54454;63691;6202;65663;83053;82185;94433;9840;104943;105686;107804;115576;115501;124422;112723;118844;114776;117749;121837;130463;139985;164559;174519;165301;180757;190178;168652
Guyana;GUY;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;11719;11442;10807;1087;14131;15306;1580;17222;17476;17358;16603;16438;16219;16178;16717;14816;13328;16052;16037;16272;17593;18316;20008;19756;20633886;207993;24786;24738;25871;27959;27685
Ingreso alto;HIC;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1,14E+13;1,14E+13;1,15E+13;1,15E+12;1,17E+12;1,19E+13;1,23E+13;1,25E+13;1,25E+13;1,26E+13;1,29E+13;1,29E+12;1,28E+13;1,31E+13;1,32E+12;1,33E+13;1,32E+11;1,34E+13;1,31E+13;1,24E+13;1,29E+13;1,27E+13;1,25E+13;1,26E+13;1,24E+12;1,24E+13;1,23E+13;1,22E+13;1,22E+13;1,19E+13;1,09E+13
Honduras;HND;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;24537;24546;27342;29007;32521;38685;39046;40367;4679;47452;49872;58001;60878;67262;75578;69736;79745;85361;85871;80729;79268;94704;99854;9685;98841;105382;103947;9377;90313;101964;88354
Países pobres muy endeudados (PPME);HPC;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;5967975;618005628;61682293;59177292;59789644;63207063;66857095;71473086;75518595;78133474;79236603;82995648;8776576;91838104;96808522;101825947;110324642;118850086;124934147;13316886;143523907;1552429249;1640306;17209018;1824985086;19455088;20499772;21244909;22187568;23565682;224996636
Croacia;HRV;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;203414;147449;150312;155365;14865;154529;152544;170696;185275;185136;180344;19196;202767;216079;210927;21445;215983;22872;217263;203059;194573;190276;17403;170106;162364;166023;168768;174079;164334;165233;156269
